patent,citedby,citingno,country,company,class,subcategory,inventor
5681380,2,595, UNITED STATES,"KIMBERLY-CLARK WORLDWIDE, INC.                                                  ", Compositions:  Coating or Plastic                                                                                                                                                                                                                              ,Coating,John MacDonald
5681380,2,595, UNITED STATES,"KIMBERLY-CLARK WORLDWIDE, INC.                                                  ", Compositions:  Coating or Plastic                                                                                                                                                                                                                              ,Coating,Ronald Nohr
5616443,1,413, UNITED STATES,KIMBERLY-CLARK CORPORATION                                                      ," Radiation Imagery Chemistry: Process, Composition, or Product Thereof                                                                                                                                                                                          ",Miscellaneous-chemical,Robert Whitmore
5616443,1,413, UNITED STATES,KIMBERLY-CLARK CORPORATION                                                      ," Radiation Imagery Chemistry: Process, Composition, or Product Thereof                                                                                                                                                                                          ",Miscellaneous-chemical,John MacDonald
5616443,1,413, UNITED STATES,KIMBERLY-CLARK CORPORATION                                                      ," Radiation Imagery Chemistry: Process, Composition, or Product Thereof                                                                                                                                                                                          ",Miscellaneous-chemical,Vincent McGinniss
5616443,1,413, UNITED STATES,KIMBERLY-CLARK CORPORATION                                                      ," Radiation Imagery Chemistry: Process, Composition, or Product Thereof                                                                                                                                                                                          ",Miscellaneous-chemical,Ronald Nohr
5610317,1,403, UNITED STATES,BOEING COMPANY                                                                  , Organic Compounds -- Part of the Class 532-570 Series                                                                                                                                                                                                          ,Organic Compounds,Clyde Sheppard
5610317,1,403, UNITED STATES,BOEING COMPANY                                                                  , Organic Compounds -- Part of the Class 532-570 Series                                                                                                                                                                                                          ,Organic Compounds,Hyman Lubowtiz
5643356,1,401, UNITED STATES,KIMBERLY-CLARK CORPORATION                                                      , Compositions:  Coating or Plastic                                                                                                                                                                                                                              ,Coating,Ronald Nohr
5643356,1,401, UNITED STATES,KIMBERLY-CLARK CORPORATION                                                      , Compositions:  Coating or Plastic                                                                                                                                                                                                                              ,Coating,John MacDonald
5797877,1,365, UNITED STATES,BOSTON SCIENTIFIC CORPORATION                                                   , Surgery                                                                                                                                                                                                                                                        ,Surgery & Med Inst.,Bruce Hamilton
5797877,1,365, UNITED STATES,BOSTON SCIENTIFIC CORPORATION                                                   , Surgery                                                                                                                                                                                                                                                        ,Surgery & Med Inst.,Ronald Sahatjian
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Franklin Jurik
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Geoffery McGarraugh
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Raymond Underwood
5563042,9,337, UNITED STATES,"LIFESCAN, INC.                                                                  ", Chemistry: Molecular Biology and Microbiology                                                                                                                                                                                                                  ,Biotechnology,Roger Phillips
5848246,6,337, UNITED STATES,"SUN MICROSYSTEMS, INC.                                                          ", Electrical Computers and Digital Processing Systems:  Multiple Computer or Process Coordinating                                                                                                                                                                ,Computer Hardware & Software,Sheri Gish
5545450,9,333, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5545450,9,333, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5631053,1,325, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5631053,1,325, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
5665442,1,325, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Per Andersen
5665442,1,325, UNITED STATES,E. KHASHOGGI INDUSTRIES                                                         , Stock Material or Miscellaneous Articles                                                                                                                                                                                                                       ,Miscellaneous-Others,Simon Hodson
